name,ra,dec,channel,x_pos,y_pos,expected_flux,phot_flux_(µJy),phot_sigma_(µJy)
1E2259+586,345.28455,58.854317,1,449.71000991098185,413.6533098690805,1.0,5.2918215,1.7965825139825409
1E2259+586,345.28455,58.854317,1,449.71000991098185,416.48130986908046,1.0,12.659698,2.2550072922256112
1E2259+586,345.28455,58.854317,1,449.71000991098185,419.30930986908044,1.0,10.404441,2.7997802307165274
1E2259+586,345.28455,58.854317,1,452.5380099109818,413.6533098690805,1.0,3.5870578,3.078788671681319
1E2259+586,345.28455,58.854317,1,452.5380099109818,416.48130986908046,1.0,24.1506,2.5157814162050496
1E2259+586,345.28455,58.854317,1,452.5380099109818,419.30930986908044,1.0,19.071896,3.6225225377709034
1E2259+586,345.28455,58.854317,1,455.3660099109818,413.6533098690805,1.0,-5.6038623,3.537763037846911
1E2259+586,345.28455,58.854317,1,455.3660099109818,416.48130986908046,1.0,8.133864,4.203509484464545
1E2259+586,345.28455,58.854317,1,455.3660099109818,419.30930986908044,1.0,-10.890104,6.40487482330188
1E2259+586,345.28455,58.854317,1,449.71000991098185,413.6533098690805,5.0,27.484413,4.356179996832107
1E2259+586,345.28455,58.854317,1,449.71000991098185,416.48130986908046,5.0,33.275074,4.496929137198488
1E2259+586,345.28455,58.854317,1,449.71000991098185,419.30930986908044,5.0,30.57431,5.067878039427526
1E2259+586,345.28455,58.854317,1,452.5380099109818,413.6533098690805,5.0,25.210129,4.738527142330287
1E2259+586,345.28455,58.854317,1,452.5380099109818,416.48130986908046,5.0,55.150646,2.952046183204598
1E2259+586,345.28455,58.854317,1,452.5380099109818,419.30930986908044,5.0,28.625635,4.577524434150894
1E2259+586,345.28455,58.854317,1,455.3660099109818,413.6533098690805,5.0,11.010112,5.021661715435611
1E2259+586,345.28455,58.854317,1,455.3660099109818,416.48130986908046,5.0,28.70864,4.231970588214346
1E2259+586,345.28455,58.854317,1,455.3660099109818,419.30930986908044,5.0,-13.142561,5.810578168468011
1E2259+586,345.28455,58.854317,1,449.71000991098185,413.6533098690805,10.0,51.070217,7.211604977639879
1E2259+586,345.28455,58.854317,1,449.71000991098185,416.48130986908046,10.0,59.306168,7.001582035811349
1E2259+586,345.28455,58.854317,1,449.71000991098185,419.30930986908044,10.0,46.66312,7.842494942097888
1E2259+586,345.28455,58.854317,1,452.5380099109818,413.6533098690805,10.0,48.28199,6.8902328661137835
1E2259+586,345.28455,58.854317,1,452.5380099109818,416.48130986908046,10.0,87.667786,3.5967993437201486
1E2259+586,345.28455,58.854317,1,452.5380099109818,419.30930986908044,10.0,51.24377,6.451144437755767
1E2259+586,345.28455,58.854317,1,455.3660099109818,413.6533098690805,10.0,29.218838,7.274421802234154
1E2259+586,345.28455,58.854317,1,455.3660099109818,416.48130986908046,10.0,55.444893,5.390788052609583
1E2259+586,345.28455,58.854317,1,455.3660099109818,419.30930986908044,10.0,-0.6317508,6.50445257196388
1E2259+586,345.28455,58.854317,1,449.71000991098185,413.6533098690805,20.0,73.61469,10.115363087883871
1E2259+586,345.28455,58.854317,1,449.71000991098185,416.48130986908046,20.0,84.306496,9.564748283162526
1E2259+586,345.28455,58.854317,1,449.71000991098185,419.30930986908044,20.0,72.38845,10.737913495638026
1E2259+586,345.28455,58.854317,1,452.5380099109818,413.6533098690805,20.0,70.836655,9.194778252049879
1E2259+586,345.28455,58.854317,1,452.5380099109818,416.48130986908046,20.0,119.490524,4.358476811671227
1E2259+586,345.28455,58.854317,1,452.5380099109818,419.30930986908044,20.0,73.861916,8.66679376610738
1E2259+586,345.28455,58.854317,1,455.3660099109818,413.6533098690805,20.0,52.838722,9.778350291306225
1E2259+586,345.28455,58.854317,1,455.3660099109818,416.48130986908046,20.0,76.08519,7.150005103541047
1E2259+586,345.28455,58.854317,1,455.3660099109818,419.30930986908044,20.0,19.365705,8.164414567319788
1E2259+586,345.28455,58.854317,1,449.71000991098185,413.6533098690805,30.0,96.15918,13.03519120067548
1E2259+586,345.28455,58.854317,1,449.71000991098185,416.48130986908046,30.0,109.30677,12.149449715908313
1E2259+586,345.28455,58.854317,1,449.71000991098185,419.30930986908044,30.0,98.113846,13.677629657460885
1E2259+586,345.28455,58.854317,1,452.5380099109818,413.6533098690805,30.0,95.24986,11.561122683143227
1E2259+586,345.28455,58.854317,1,452.5380099109818,416.48130986908046,30.0,149.60983,5.185811893478455
1E2259+586,345.28455,58.854317,1,452.5380099109818,419.30930986908044,30.0,97.8339,11.020065036752925
1E2259+586,345.28455,58.854317,1,455.3660099109818,413.6533098690805,30.0,64.81505,12.38199900115779
1E2259+586,345.28455,58.854317,1,455.3660099109818,416.48130986908046,30.0,96.4631,9.170359251147651
1E2259+586,345.28455,58.854317,1,455.3660099109818,419.30930986908044,30.0,44.9693,10.334996339474445
